Health_Center_ID,Medicine_Name,month,hist_med_avg
1,Amlodipine 5mg,1,1.3170731707317074
1,Amlodipine 5mg,2,1.7307692307692308
1,Amlodipine 5mg,3,1.372093023255814
1,Amlodipine 5mg,4,1.2666666666666666
1,Amlodipine 5mg,5,1.441860465116279
1,Amlodipine 5mg,6,1.4901960784313726
1,Amlodipine 5mg,7,1.7924528301886793
1,Amlodipine 5mg,8,1.4915254237288136
1,Amlodipine 5mg,9,1.45
1,Amlodipine 5mg,10,1.5344827586206897
1,Amlodipine 5mg,11,1.2758620689655173
1,Amlodipine 5mg,12,1.2647058823529411
1,Amoxicillin 250mg,1,23.032258064516128
1,Amoxicillin 250mg,2,6.324324324324325
1,Amoxicillin 250mg,3,5.149253731343284
1,Amoxicillin 250mg,4,5.25
1,Amoxicillin 250mg,5,5.0
1,Amoxicillin 250mg,6,6.48
1,Amoxicillin 250mg,7,6.227848101265823
1,Amoxicillin 250mg,8,6.592105263157895
1,Amoxicillin 250mg,9,6.4
1,Amoxicillin 250mg,10,6.3076923076923075
1,Amoxicillin 250mg,11,23.966666666666665
1,Amoxicillin 250mg,12,24.70967741935484
1,Cetirizine 10mg,1,1.6346153846153846
1,Cetirizine 10mg,2,2.347826086956522
1,Cetirizine 10mg,3,1.8732394366197183
1,Cetirizine 10mg,4,1.7936507936507937
1,Cetirizine 10mg,5,1.7567567567567568
1,Cetirizine 10mg,6,2.0833333333333335
1,Cetirizine 10mg,7,2.2125
1,Cetirizine 10mg,8,2.2911392405063293
1,Cetirizine 10mg,9,2.1095890410958904
1,Cetirizine 10mg,10,2.4675324675324677
1,Cetirizine 10mg,11,1.6538461538461537
1,Cetirizine 10mg,12,1.6181818181818182
1,Cough Syrup,1,7.43010752688172
1,Cough Syrup,2,2.217391304347826
1,Cough Syrup,3,1.7868852459016393
1,Cough Syrup,4,1.7183098591549295
1,Cough Syrup,5,1.8133333333333332
1,Cough Syrup,6,2.4305555555555554
1,Cough Syrup,7,2.1333333333333333
